Entity,Code,Day,vaccine_eligibility_age
Afghanistan,AFG,2021-09-21,16
Afghanistan,AFG,2021-09-22,16
Afghanistan,AFG,2021-09-23,16
Afghanistan,AFG,2021-09-24,16
Afghanistan,AFG,2021-09-25,16
Afghanistan,AFG,2021-09-26,16
Afghanistan,AFG,2021-09-27,16
Afghanistan,AFG,2021-09-28,16
Afghanistan,AFG,2021-09-29,16
Afghanistan,AFG,2021-09-30,16
Afghanistan,AFG,2021-10-01,16
Afghanistan,AFG,2021-10-02,16
Afghanistan,AFG,2021-10-03,16
Afghanistan,AFG,2021-10-04,16
Afghanistan,AFG,2021-10-05,16
Afghanistan,AFG,2021-10-06,16
Afghanistan,AFG,2021-10-07,16
Afghanistan,AFG,2021-10-08,16
Afghanistan,AFG,2021-10-09,16
Afghanistan,AFG,2021-10-10,16
Afghanistan,AFG,2021-10-11,16
Afghanistan,AFG,2021-10-12,16
Afghanistan,AFG,2021-10-13,16
Afghanistan,AFG,2021-10-14,16
Afghanistan,AFG,2021-10-15,16
Afghanistan,AFG,2021-10-16,16
Afghanistan,AFG,2021-10-17,16
Afghanistan,AFG,2021-10-18,16
Afghanistan,AFG,2021-10-19,16
Afghanistan,AFG,2021-10-20,16
Afghanistan,AFG,2021-10-21,16
Afghanistan,AFG,2021-10-22,16
Afghanistan,AFG,2021-10-23,16
Afghanistan,AFG,2021-10-24,16
Afghanistan,AFG,2021-10-25,16
Afghanistan,AFG,2021-10-26,16
Afghanistan,AFG,2021-10-27,16
Afghanistan,AFG,2021-10-28,16
Afghanistan,AFG,2021-10-29,16
Afghanistan,AFG,2021-10-30,16
Afghanistan,AFG,2021-10-31,16
Afghanistan,AFG,2021-11-01,16
Afghanistan,AFG,2021-11-02,16
Afghanistan,AFG,2021-11-03,16
Afghanistan,AFG,2021-11-04,16
Afghanistan,AFG,2021-11-05,16
Afghanistan,AFG,2021-11-06,16
Afghanistan,AFG,2021-11-07,16
Afghanistan,AFG,2021-11-08,16
Afghanistan,AFG,2021-11-09,16
Afghanistan,AFG,2021-11-10,16
Afghanistan,AFG,2021-11-11,16
Afghanistan,AFG,2021-11-12,16
Afghanistan,AFG,2021-11-13,16
Afghanistan,AFG,2021-11-14,16
Afghanistan,AFG,2021-11-15,16
Afghanistan,AFG,2021-11-16,16
Afghanistan,AFG,2021-11-17,16
Afghanistan,AFG,2021-11-18,16
Afghanistan,AFG,2021-11-19,16
Afghanistan,AFG,2021-11-20,16
Afghanistan,AFG,2021-11-21,16
Afghanistan,AFG,2021-11-22,16
Afghanistan,AFG,2021-11-23,16
Afghanistan,AFG,2021-11-24,16
Afghanistan,AFG,2021-11-25,16
Afghanistan,AFG,2021-11-26,16
Afghanistan,AFG,2021-11-27,16
Afghanistan,AFG,2021-11-28,16
Afghanistan,AFG,2021-11-29,16
Afghanistan,AFG,2021-11-30,16
Afghanistan,AFG,2021-12-01,16
Afghanistan,AFG,2021-12-02,16
Afghanistan,AFG,2021-12-03,16
Afghanistan,AFG,2021-12-04,16
Afghanistan,AFG,2021-12-05,16
Afghanistan,AFG,2021-12-06,16
Afghanistan,AFG,2021-12-07,16
Afghanistan,AFG,2021-12-08,16
Afghanistan,AFG,2021-12-09,16
Afghanistan,AFG,2021-12-10,16
Afghanistan,AFG,2021-12-11,16
Afghanistan,AFG,2021-12-12,16
Afghanistan,AFG,2021-12-13,16
Afghanistan,AFG,2021-12-14,16
Afghanistan,AFG,2021-12-15,16
Afghanistan,AFG,2021-12-16,16
Afghanistan,AFG,2021-12-17,16
Afghanistan,AFG,2021-12-18,16
Afghanistan,AFG,2021-12-19,16
Afghanistan,AFG,2021-12-20,16
Afghanistan,AFG,2021-12-21,16
Afghanistan,AFG,2021-12-22,16
Afghanistan,AFG,2021-12-23,16
Afghanistan,AFG,2021-12-24,16
Afghanistan,AFG,2021-12-25,16
Afghanistan,AFG,2021-12-26,16
Afghanistan,AFG,2021-12-27,16
Afghanistan,AFG,2021-12-28,16
Afghanistan,AFG,2021-12-29,16
Afghanistan,AFG,2021-12-30,16
Afghanistan,AFG,2021-12-31,16
Afghanistan,AFG,2022-01-01,16
Afghanistan,AFG,2022-01-02,16
Afghanistan,AFG,2022-01-03,16
Afghanistan,AFG,2022-01-04,16
Afghanistan,AFG,2022-01-05,16
Afghanistan,AFG,2022-01-06,16
Afghanistan,AFG,2022-01-07,16
Afghanistan,AFG,2022-01-08,16
Afghanistan,AFG,2022-01-09,16
Afghanistan,AFG,2022-01-10,16
Afghanistan,AFG,2022-01-11,16
Afghanistan,AFG,2022-01-12,16
Afghanistan,AFG,2022-01-13,16
Afghanistan,AFG,2022-01-14,16
Afghanistan,AFG,2022-01-15,16
Afghanistan,AFG,2022-01-16,16
Afghanistan,AFG,2022-01-17,16
Afghanistan,AFG,2022-01-18,16
Afghanistan,AFG,2022-01-19,16
Afghanistan,AFG,2022-01-20,16
Afghanistan,AFG,2022-01-21,16
Afghanistan,AFG,2022-01-22,16
Afghanistan,AFG,2022-01-23,16
Afghanistan,AFG,2022-01-24,16
Afghanistan,AFG,2022-01-25,16
Afghanistan,AFG,2022-01-26,16
Afghanistan,AFG,2022-01-27,16
Afghanistan,AFG,2022-01-28,16
Afghanistan,AFG,2022-01-29,16
Afghanistan,AFG,2022-01-30,16
Afghanistan,AFG,2022-01-31,16
Afghanistan,AFG,2022-02-01,16
Afghanistan,AFG,2022-02-02,16
Afghanistan,AFG,2022-02-03,16
Afghanistan,AFG,2022-02-04,16
Afghanistan,AFG,2022-02-05,16
Afghanistan,AFG,2022-02-06,16
Afghanistan,AFG,2022-02-07,16
Afghanistan,AFG,2022-02-08,16
Afghanistan,AFG,2022-02-09,16
Afghanistan,AFG,2022-02-10,16
Afghanistan,AFG,2022-02-11,16
Afghanistan,AFG,2022-02-12,16
Afghanistan,AFG,2022-02-13,16
Afghanistan,AFG,2022-02-14,16
Afghanistan,AFG,2022-02-15,16
Afghanistan,AFG,2022-02-16,16
Afghanistan,AFG,2022-02-17,16
Afghanistan,AFG,2022-02-18,16
Afghanistan,AFG,2022-02-19,16
Afghanistan,AFG,2022-02-20,16
Afghanistan,AFG,2022-02-21,16
Afghanistan,AFG,2022-02-22,16
Afghanistan,AFG,2022-02-23,16
Afghanistan,AFG,2022-02-24,16
Afghanistan,AFG,2022-02-25,16
Afghanistan,AFG,2022-02-26,16
Afghanistan,AFG,2022-02-27,16
Afghanistan,AFG,2022-02-28,16
Afghanistan,AFG,2022-03-01,16
Afghanistan,AFG,2022-03-02,16
Afghanistan,AFG,2022-03-03,16
Afghanistan,AFG,2022-03-04,16
Afghanistan,AFG,2022-03-05,16
Afghanistan,AFG,2022-03-06,16
Afghanistan,AFG,2022-03-07,16
Afghanistan,AFG,2022-03-08,16
Afghanistan,AFG,2022-03-09,16
Afghanistan,AFG,2022-03-10,16
Afghanistan,AFG,2022-03-11,16
Afghanistan,AFG,2022-03-12,16
Afghanistan,AFG,2022-03-13,16
Afghanistan,AFG,2022-03-14,16
Afghanistan,AFG,2022-03-15,16
Afghanistan,AFG,2022-03-16,16
Afghanistan,AFG,2022-03-17,16
Afghanistan,AFG,2022-03-18,16
Afghanistan,AFG,2022-03-19,16
Afghanistan,AFG,2022-03-20,16
Afghanistan,AFG,2022-03-21,16
