Entity,Code,Day,vaccine_eligibility_age
Afghanistan,AFG,2022-10-05,16-19 yrs
Afghanistan,AFG,2022-10-06,16-19 yrs
Afghanistan,AFG,2022-10-07,16-19 yrs
Afghanistan,AFG,2022-10-08,16-19 yrs
Afghanistan,AFG,2022-10-09,16-19 yrs
Afghanistan,AFG,2022-10-10,16-19 yrs
Afghanistan,AFG,2022-10-11,16-19 yrs
Afghanistan,AFG,2022-10-12,16-19 yrs
Afghanistan,AFG,2022-10-13,16-19 yrs
Afghanistan,AFG,2022-10-14,16-19 yrs
Afghanistan,AFG,2022-10-15,16-19 yrs
Afghanistan,AFG,2022-10-16,16-19 yrs
Afghanistan,AFG,2022-10-17,16-19 yrs
Afghanistan,AFG,2022-10-18,16-19 yrs
Afghanistan,AFG,2022-10-19,16-19 yrs
Afghanistan,AFG,2022-10-20,16-19 yrs
Afghanistan,AFG,2022-10-21,16-19 yrs
Afghanistan,AFG,2022-10-22,16-19 yrs
Afghanistan,AFG,2022-10-23,16-19 yrs
Afghanistan,AFG,2022-10-24,16-19 yrs
Afghanistan,AFG,2022-10-25,16-19 yrs
Afghanistan,AFG,2022-10-26,16-19 yrs
Afghanistan,AFG,2022-10-27,16-19 yrs
Afghanistan,AFG,2022-10-28,16-19 yrs
Afghanistan,AFG,2022-10-29,16-19 yrs
Afghanistan,AFG,2022-10-30,16-19 yrs
Afghanistan,AFG,2022-10-31,16-19 yrs
Afghanistan,AFG,2022-11-01,16-19 yrs
Afghanistan,AFG,2022-11-02,16-19 yrs
Afghanistan,AFG,2022-11-03,16-19 yrs
Afghanistan,AFG,2022-11-04,16-19 yrs
Afghanistan,AFG,2022-11-05,16-19 yrs
Afghanistan,AFG,2022-11-06,16-19 yrs
Afghanistan,AFG,2022-11-07,16-19 yrs
Afghanistan,AFG,2022-11-08,16-19 yrs
Afghanistan,AFG,2022-11-09,16-19 yrs
Afghanistan,AFG,2022-11-10,16-19 yrs
Afghanistan,AFG,2022-11-11,16-19 yrs
Afghanistan,AFG,2022-11-12,16-19 yrs
Afghanistan,AFG,2022-11-13,16-19 yrs
Afghanistan,AFG,2022-11-14,16-19 yrs
Afghanistan,AFG,2022-11-15,16-19 yrs
Afghanistan,AFG,2022-11-16,16-19 yrs
Afghanistan,AFG,2022-11-17,16-19 yrs
Afghanistan,AFG,2022-11-18,16-19 yrs
Afghanistan,AFG,2022-11-19,16-19 yrs
Afghanistan,AFG,2022-11-20,16-19 yrs
Afghanistan,AFG,2022-11-21,16-19 yrs
Afghanistan,AFG,2022-11-22,16-19 yrs
Afghanistan,AFG,2022-11-23,16-19 yrs
Afghanistan,AFG,2022-11-24,16-19 yrs
Afghanistan,AFG,2022-11-25,16-19 yrs
Afghanistan,AFG,2022-11-26,16-19 yrs
Afghanistan,AFG,2022-11-27,16-19 yrs
Afghanistan,AFG,2022-11-28,16-19 yrs
Afghanistan,AFG,2022-11-29,16-19 yrs
Afghanistan,AFG,2022-11-30,16-19 yrs
Afghanistan,AFG,2022-12-01,16-19 yrs
Afghanistan,AFG,2022-12-02,16-19 yrs
Afghanistan,AFG,2022-12-03,16-19 yrs
Afghanistan,AFG,2022-12-04,16-19 yrs
Afghanistan,AFG,2022-12-05,16-19 yrs
Afghanistan,AFG,2022-12-06,16-19 yrs
Afghanistan,AFG,2022-12-07,16-19 yrs
Afghanistan,AFG,2022-12-08,16-19 yrs
Afghanistan,AFG,2022-12-09,16-19 yrs
Afghanistan,AFG,2022-12-10,16-19 yrs
Afghanistan,AFG,2022-12-11,16-19 yrs
Afghanistan,AFG,2022-12-12,16-19 yrs
Afghanistan,AFG,2022-12-13,16-19 yrs
Afghanistan,AFG,2022-12-14,16-19 yrs
Afghanistan,AFG,2022-12-15,16-19 yrs
Afghanistan,AFG,2022-12-16,16-19 yrs
Afghanistan,AFG,2022-12-17,16-19 yrs
Afghanistan,AFG,2022-12-18,16-19 yrs
Afghanistan,AFG,2022-12-19,16-19 yrs
Afghanistan,AFG,2022-12-20,16-19 yrs
Afghanistan,AFG,2022-12-21,16-19 yrs
Afghanistan,AFG,2022-12-22,16-19 yrs
Afghanistan,AFG,2022-12-23,16-19 yrs
Afghanistan,AFG,2022-12-24,16-19 yrs
Afghanistan,AFG,2022-12-25,16-19 yrs
Afghanistan,AFG,2022-12-26,16-19 yrs
Afghanistan,AFG,2022-12-27,16-19 yrs
Afghanistan,AFG,2022-12-28,16-19 yrs
Afghanistan,AFG,2022-12-29,16-19 yrs
Afghanistan,AFG,2022-12-30,16-19 yrs
Afghanistan,AFG,2022-12-31,16-19 yrs
Albania,ALB,2021-01-18,75-79 yrs
Albania,ALB,2021-01-19,75-79 yrs
Albania,ALB,2021-01-20,75-79 yrs
Albania,ALB,2021-01-21,75-79 yrs
Albania,ALB,2021-01-22,75-79 yrs
Albania,ALB,2021-01-23,75-79 yrs
Albania,ALB,2021-01-24,75-79 yrs
Albania,ALB,2021-01-25,75-79 yrs
Albania,ALB,2021-01-26,75-79 yrs
Albania,ALB,2021-01-27,75-79 yrs
Albania,ALB,2021-01-28,75-79 yrs
Albania,ALB,2021-01-29,75-79 yrs
Albania,ALB,2021-01-30,75-79 yrs
Albania,ALB,2021-01-31,75-79 yrs
Albania,ALB,2021-02-01,75-79 yrs
Albania,ALB,2021-02-02,75-79 yrs
Albania,ALB,2021-02-03,75-79 yrs
Albania,ALB,2021-02-04,75-79 yrs
Albania,ALB,2021-02-05,75-79 yrs
Albania,ALB,2021-02-06,75-79 yrs
Albania,ALB,2021-02-07,75-79 yrs
Albania,ALB,2021-02-08,75-79 yrs
Albania,ALB,2021-02-09,75-79 yrs
Albania,ALB,2021-02-10,75-79 yrs
Albania,ALB,2021-02-11,75-79 yrs
Albania,ALB,2021-02-12,75-79 yrs
Albania,ALB,2021-02-13,75-79 yrs
Albania,ALB,2021-02-14,75-79 yrs
Albania,ALB,2021-02-15,75-79 yrs
Albania,ALB,2021-02-16,75-79 yrs
Albania,ALB,2021-02-17,75-79 yrs
Albania,ALB,2021-02-18,75-79 yrs
Albania,ALB,2021-02-19,75-79 yrs
Albania,ALB,2021-02-20,75-79 yrs
Albania,ALB,2021-02-21,75-79 yrs
Albania,ALB,2021-02-22,75-79 yrs
Albania,ALB,2021-02-23,75-79 yrs
Albania,ALB,2021-02-24,75-79 yrs
Albania,ALB,2021-02-25,75-79 yrs
Albania,ALB,2021-02-26,75-79 yrs
Albania,ALB,2021-02-27,75-79 yrs
Albania,ALB,2021-02-28,75-79 yrs
Albania,ALB,2021-03-01,75-79 yrs
Albania,ALB,2021-03-02,75-79 yrs
Albania,ALB,2021-03-03,75-79 yrs
Albania,ALB,2021-03-04,75-79 yrs
Albania,ALB,2021-03-05,75-79 yrs
Albania,ALB,2021-03-06,75-79 yrs
Albania,ALB,2021-03-07,75-79 yrs
Albania,ALB,2021-03-08,75-79 yrs
Albania,ALB,2021-03-09,75-79 yrs
Albania,ALB,2021-03-10,75-79 yrs
Albania,ALB,2021-03-11,75-79 yrs
Albania,ALB,2021-03-12,75-79 yrs
Albania,ALB,2021-03-13,75-79 yrs
Albania,ALB,2021-03-14,75-79 yrs
Albania,ALB,2021-03-15,75-79 yrs
Albania,ALB,2021-03-16,75-79 yrs
Albania,ALB,2021-03-17,75-79 yrs
Albania,ALB,2021-03-18,75-79 yrs
Albania,ALB,2021-03-19,75-79 yrs
Albania,ALB,2021-03-20,75-79 yrs
Albania,ALB,2021-03-21,75-79 yrs
Albania,ALB,2021-03-22,75-79 yrs
Albania,ALB,2021-03-23,75-79 yrs
Albania,ALB,2021-03-24,75-79 yrs
Albania,ALB,2021-03-25,75-79 yrs
Albania,ALB,2021-03-26,75-79 yrs
Albania,ALB,2021-03-27,75-79 yrs
Albania,ALB,2021-03-28,70-74 yrs
Albania,ALB,2021-03-29,70-74 yrs
Albania,ALB,2021-03-30,70-74 yrs
Albania,ALB,2021-03-31,70-74 yrs
Albania,ALB,2021-04-01,70-74 yrs
Albania,ALB,2021-04-02,70-74 yrs
Albania,ALB,2021-04-03,70-74 yrs
Albania,ALB,2021-04-04,70-74 yrs
Albania,ALB,2021-04-05,70-74 yrs
Albania,ALB,2021-04-06,70-74 yrs
Albania,ALB,2021-04-07,70-74 yrs
Albania,ALB,2021-04-08,70-74 yrs
Albania,ALB,2021-04-09,70-74 yrs
Albania,ALB,2021-04-10,60-64 yrs
Albania,ALB,2021-04-11,60-64 yrs
Albania,ALB,2021-04-12,60-64 yrs
Albania,ALB,2021-04-13,60-64 yrs
Albania,ALB,2021-04-14,60-64 yrs
Albania,ALB,2021-04-15,60-64 yrs
Albania,ALB,2021-04-16,60-64 yrs
Albania,ALB,2021-04-17,60-64 yrs
Albania,ALB,2021-04-18,60-64 yrs
Albania,ALB,2021-04-19,60-64 yrs
Albania,ALB,2021-04-20,60-64 yrs
Albania,ALB,2021-04-21,60-64 yrs
Albania,ALB,2021-04-22,60-64 yrs
Albania,ALB,2021-04-23,60-64 yrs
Albania,ALB,2021-04-24,60-64 yrs
Albania,ALB,2021-04-25,60-64 yrs
Albania,ALB,2021-04-26,60-64 yrs
Albania,ALB,2021-04-27,60-64 yrs
Albania,ALB,2021-04-28,60-64 yrs
Albania,ALB,2021-04-29,60-64 yrs
Albania,ALB,2021-04-30,60-64 yrs
Albania,ALB,2021-05-01,60-64 yrs
Albania,ALB,2021-05-02,60-64 yrs
Albania,ALB,2021-05-03,60-64 yrs
Albania,ALB,2021-05-04,60-64 yrs
Albania,ALB,2021-05-05,60-64 yrs
Albania,ALB,2021-05-06,60-64 yrs
Albania,ALB,2021-05-07,60-64 yrs
Albania,ALB,2021-05-08,60-64 yrs
Albania,ALB,2021-05-09,60-64 yrs
Albania,ALB,2021-05-10,60-64 yrs
Albania,ALB,2021-05-11,60-64 yrs
Albania,ALB,2021-05-12,60-64 yrs
Albania,ALB,2021-05-13,60-64 yrs
Albania,ALB,2021-05-14,60-64 yrs
Albania,ALB,2021-05-15,60-64 yrs
Albania,ALB,2021-05-16,60-64 yrs
Albania,ALB,2021-05-17,60-64 yrs
Albania,ALB,2021-05-18,60-64 yrs
Albania,ALB,2021-05-19,60-64 yrs
Albania,ALB,2021-05-20,60-64 yrs
Albania,ALB,2021-05-21,60-64 yrs
Albania,ALB,2021-05-22,60-64 yrs
Albania,ALB,2021-05-23,60-64 yrs
Albania,ALB,2021-05-24,60-64 yrs
Albania,ALB,2021-05-25,60-64 yrs
Albania,ALB,2021-05-26,60-64 yrs
Albania,ALB,2021-05-27,60-64 yrs
Albania,ALB,2021-05-28,60-64 yrs
Albania,ALB,2021-05-29,60-64 yrs
Albania,ALB,2021-05-30,60-64 yrs
Albania,ALB,2021-05-31,60-64 yrs
Albania,ALB,2021-06-01,60-64 yrs
Albania,ALB,2021-06-02,60-64 yrs
Albania,ALB,2021-06-03,60-64 yrs
Albania,ALB,2021-06-04,60-64 yrs
Albania,ALB,2021-06-05,60-64 yrs
Albania,ALB,2021-06-06,60-64 yrs
Albania,ALB,2021-06-07,60-64 yrs
Albania,ALB,2021-06-08,60-64 yrs
Albania,ALB,2021-06-09,60-64 yrs
Albania,ALB,2021-06-10,60-64 yrs
Albania,ALB,2021-06-11,60-64 yrs
Albania,ALB,2021-06-12,60-64 yrs
Albania,ALB,2021-06-13,60-64 yrs
Albania,ALB,2021-06-14,60-64 yrs
Albania,ALB,2021-06-15,60-64 yrs
Albania,ALB,2021-06-16,60-64 yrs
Albania,ALB,2021-06-17,60-64 yrs
Albania,ALB,2021-06-18,60-64 yrs
Albania,ALB,2021-06-19,60-64 yrs
Albania,ALB,2021-06-20,60-64 yrs
Albania,ALB,2021-06-21,50-54 yrs
Albania,ALB,2021-06-22,50-54 yrs
Albania,ALB,2021-06-23,50-54 yrs
Albania,ALB,2021-06-24,50-54 yrs
Albania,ALB,2021-06-25,50-54 yrs
Albania,ALB,2021-06-26,50-54 yrs
Albania,ALB,2021-06-27,50-54 yrs
Albania,ALB,2021-06-28,50-54 yrs
Albania,ALB,2021-06-29,16-19 yrs
Albania,ALB,2021-06-30,16-19 yrs
Albania,ALB,2021-07-01,50-54 yrs
Albania,ALB,2021-07-02,50-54 yrs
Albania,ALB,2021-07-03,50-54 yrs
Albania,ALB,2021-07-04,50-54 yrs
Albania,ALB,2021-07-05,50-54 yrs
Albania,ALB,2021-07-06,50-54 yrs
Albania,ALB,2021-07-07,50-54 yrs
Albania,ALB,2021-07-08,50-54 yrs
Albania,ALB,2021-07-09,50-54 yrs
Albania,ALB,2021-07-10,50-54 yrs
Albania,ALB,2021-07-11,50-54 yrs
Albania,ALB,2021-07-12,50-54 yrs
Albania,ALB,2021-07-13,50-54 yrs
Albania,ALB,2021-07-14,50-54 yrs
Albania,ALB,2021-07-15,50-54 yrs
Albania,ALB,2021-07-16,50-54 yrs
Albania,ALB,2021-07-17,50-54 yrs
Albania,ALB,2021-07-18,50-54 yrs
Albania,ALB,2021-07-19,16-19 yrs
Albania,ALB,2021-07-20,16-19 yrs
Albania,ALB,2021-07-21,16-19 yrs
Albania,ALB,2021-07-22,16-19 yrs
Albania,ALB,2021-07-23,16-19 yrs
Albania,ALB,2021-07-24,16-19 yrs
Albania,ALB,2021-07-25,16-19 yrs
Albania,ALB,2021-07-26,50-54 yrs
Albania,ALB,2021-07-27,50-54 yrs
Albania,ALB,2021-07-28,50-54 yrs
Albania,ALB,2021-07-29,50-54 yrs
Albania,ALB,2021-07-30,50-54 yrs
Albania,ALB,2021-07-31,50-54 yrs
Albania,ALB,2021-08-01,16-19 yrs
Albania,ALB,2021-08-02,16-19 yrs
Albania,ALB,2021-08-03,16-19 yrs
Albania,ALB,2021-08-04,16-19 yrs
Albania,ALB,2021-08-05,16-19 yrs
Albania,ALB,2021-08-06,16-19 yrs
Albania,ALB,2021-08-07,16-19 yrs
Albania,ALB,2021-08-08,16-19 yrs
Albania,ALB,2021-08-09,16-19 yrs
Albania,ALB,2021-08-10,16-19 yrs
Albania,ALB,2021-08-11,16-19 yrs
Albania,ALB,2021-08-12,16-19 yrs
Albania,ALB,2021-08-13,16-19 yrs
Albania,ALB,2021-08-14,16-19 yrs
Albania,ALB,2021-08-15,16-19 yrs
Albania,ALB,2021-08-16,16-19 yrs
Albania,ALB,2021-08-17,16-19 yrs
Albania,ALB,2021-08-18,16-19 yrs
Albania,ALB,2021-08-19,16-19 yrs
Albania,ALB,2021-08-20,16-19 yrs
Albania,ALB,2021-08-21,16-19 yrs
Albania,ALB,2021-08-22,16-19 yrs
Albania,ALB,2021-08-23,16-19 yrs
Albania,ALB,2021-08-24,16-19 yrs
Albania,ALB,2021-08-25,16-19 yrs
Albania,ALB,2021-08-26,16-19 yrs
Albania,ALB,2021-08-27,16-19 yrs
Albania,ALB,2021-08-28,16-19 yrs
Albania,ALB,2021-08-29,16-19 yrs
Albania,ALB,2021-08-30,16-19 yrs
Albania,ALB,2021-08-31,16-19 yrs
Albania,ALB,2021-09-01,16-19 yrs
Albania,ALB,2021-09-02,16-19 yrs
Albania,ALB,2021-09-03,16-19 yrs
Albania,ALB,2021-09-04,16-19 yrs
Albania,ALB,2021-09-05,16-19 yrs
Albania,ALB,2021-09-06,16-19 yrs
Albania,ALB,2021-09-07,16-19 yrs
Albania,ALB,2021-09-08,16-19 yrs
Albania,ALB,2021-09-09,16-19 yrs
Albania,ALB,2021-09-10,16-19 yrs
Albania,ALB,2021-09-11,16-19 yrs
Albania,ALB,2021-09-12,16-19 yrs
Albania,ALB,2021-09-13,16-19 yrs
Albania,ALB,2021-09-14,16-19 yrs
Albania,ALB,2021-09-15,16-19 yrs
Albania,ALB,2021-09-16,16-19 yrs
Albania,ALB,2021-09-17,16-19 yrs
Albania,ALB,2021-09-18,16-19 yrs
Albania,ALB,2021-09-19,16-19 yrs
Albania,ALB,2021-09-20,16-19 yrs
Albania,ALB,2021-09-21,16-19 yrs
Albania,ALB,2021-09-22,16-19 yrs
Albania,ALB,2021-09-23,16-19 yrs
Albania,ALB,2021-09-24,16-19 yrs
Albania,ALB,2021-09-25,16-19 yrs
Albania,ALB,2021-09-26,16-19 yrs
Albania,ALB,2021-09-27,16-19 yrs
Albania,ALB,2021-09-28,16-19 yrs
Albania,ALB,2021-09-29,16-19 yrs
Albania,ALB,2021-09-30,16-19 yrs
Albania,ALB,2021-10-01,16-19 yrs
Albania,ALB,2021-10-02,16-19 yrs
Albania,ALB,2021-10-03,16-19 yrs
Albania,ALB,2021-10-04,16-19 yrs
Albania,ALB,2021-10-05,16-19 yrs
Albania,ALB,2021-10-06,16-19 yrs
Albania,ALB,2021-10-07,16-19 yrs
Albania,ALB,2021-10-08,16-19 yrs
Albania,ALB,2021-10-09,16-19 yrs
Albania,ALB,2021-10-10,16-19 yrs
Albania,ALB,2021-10-11,16-19 yrs
Albania,ALB,2021-10-12,16-19 yrs
Albania,ALB,2021-10-13,16-19 yrs
Albania,ALB,2021-10-14,16-19 yrs
Albania,ALB,2021-10-15,16-19 yrs
Albania,ALB,2021-10-16,16-19 yrs
Albania,ALB,2021-10-17,16-19 yrs
Albania,ALB,2021-10-18,16-19 yrs
Albania,ALB,2021-10-19,16-19 yrs
Albania,ALB,2021-10-20,16-19 yrs
Albania,ALB,2021-10-21,16-19 yrs
Albania,ALB,2021-10-22,16-19 yrs
Albania,ALB,2021-10-23,16-19 yrs
Albania,ALB,2021-10-24,16-19 yrs
Albania,ALB,2021-10-25,16-19 yrs
Albania,ALB,2021-10-26,16-19 yrs
Albania,ALB,2021-10-27,16-19 yrs
Albania,ALB,2021-10-28,16-19 yrs
Albania,ALB,2021-10-29,16-19 yrs
Albania,ALB,2021-10-30,16-19 yrs
Albania,ALB,2021-10-31,16-19 yrs
Albania,ALB,2021-11-01,16-19 yrs
Albania,ALB,2021-11-02,16-19 yrs
Albania,ALB,2021-11-03,16-19 yrs
Albania,ALB,2021-11-04,16-19 yrs
Albania,ALB,2021-11-05,16-19 yrs
Albania,ALB,2021-11-06,16-19 yrs
Albania,ALB,2021-11-07,16-19 yrs
Albania,ALB,2021-11-08,16-19 yrs
Albania,ALB,2021-11-09,16-19 yrs
Albania,ALB,2021-11-10,16-19 yrs
Albania,ALB,2021-11-11,16-19 yrs
Albania,ALB,2021-11-12,16-19 yrs
Albania,ALB,2021-11-13,16-19 yrs
Albania,ALB,2021-11-14,16-19 yrs
Albania,ALB,2021-11-15,16-19 yrs
Albania,ALB,2021-11-16,16-19 yrs
Albania,ALB,2021-11-17,16-19 yrs
Albania,ALB,2021-11-18,16-19 yrs
Albania,ALB,2021-11-19,16-19 yrs
Albania,ALB,2021-11-20,16-19 yrs
Albania,ALB,2021-11-21,16-19 yrs
Albania,ALB,2021-11-22,16-19 yrs
Albania,ALB,2021-11-23,5-15 yrs
Albania,ALB,2021-11-24,5-15 yrs
Albania,ALB,2021-11-25,5-15 yrs
Albania,ALB,2021-11-26,5-15 yrs
Albania,ALB,2021-11-27,5-15 yrs
Albania,ALB,2021-11-28,5-15 yrs
Albania,ALB,2021-11-29,5-15 yrs
Albania,ALB,2021-11-30,5-15 yrs
Albania,ALB,2021-12-01,5-15 yrs
Albania,ALB,2021-12-02,5-15 yrs
Albania,ALB,2021-12-03,5-15 yrs
Albania,ALB,2021-12-04,5-15 yrs
Albania,ALB,2021-12-05,5-15 yrs
Albania,ALB,2021-12-06,5-15 yrs
Albania,ALB,2021-12-07,5-15 yrs
Albania,ALB,2021-12-08,5-15 yrs
Albania,ALB,2021-12-09,5-15 yrs
Albania,ALB,2021-12-10,5-15 yrs
Albania,ALB,2021-12-11,5-15 yrs
Albania,ALB,2021-12-12,5-15 yrs
Albania,ALB,2021-12-13,5-15 yrs
Albania,ALB,2021-12-14,5-15 yrs
Albania,ALB,2021-12-15,5-15 yrs
Albania,ALB,2021-12-16,5-15 yrs
Albania,ALB,2021-12-17,5-15 yrs
Albania,ALB,2021-12-18,5-15 yrs
Albania,ALB,2021-12-19,5-15 yrs
Albania,ALB,2021-12-20,5-15 yrs
Albania,ALB,2021-12-21,5-15 yrs
Albania,ALB,2021-12-22,5-15 yrs
Albania,ALB,2021-12-23,5-15 yrs
Albania,ALB,2021-12-24,5-15 yrs
Albania,ALB,2021-12-25,5-15 yrs
Albania,ALB,2021-12-26,5-15 yrs
Albania,ALB,2021-12-27,5-15 yrs
Albania,ALB,2021-12-28,5-15 yrs
Albania,ALB,2021-12-29,5-15 yrs
Albania,ALB,2021-12-30,5-15 yrs
Albania,ALB,2021-12-31,5-15 yrs
Albania,ALB,2022-01-01,5-15 yrs
Albania,ALB,2022-01-02,5-15 yrs
Albania,ALB,2022-01-03,5-15 yrs
Albania,ALB,2022-01-04,5-15 yrs
Albania,ALB,2022-01-05,5-15 yrs
Albania,ALB,2022-01-06,5-15 yrs
Albania,ALB,2022-01-07,5-15 yrs
Albania,ALB,2022-01-08,5-15 yrs
Albania,ALB,2022-01-09,5-15 yrs
Albania,ALB,2022-01-10,5-15 yrs
Albania,ALB,2022-01-11,5-15 yrs
Albania,ALB,2022-01-12,5-15 yrs
Albania,ALB,2022-01-13,5-15 yrs
Albania,ALB,2022-01-14,5-15 yrs
Albania,ALB,2022-01-15,5-15 yrs
Albania,ALB,2022-01-16,5-15 yrs
Albania,ALB,2022-01-17,5-15 yrs
Albania,ALB,2022-01-18,5-15 yrs
Albania,ALB,2022-01-19,5-15 yrs
Albania,ALB,2022-01-20,5-15 yrs
Albania,ALB,2022-01-21,5-15 yrs
Albania,ALB,2022-01-22,5-15 yrs
Albania,ALB,2022-01-23,5-15 yrs
Albania,ALB,2022-01-24,5-15 yrs
Albania,ALB,2022-01-25,5-15 yrs
Albania,ALB,2022-01-26,5-15 yrs
Albania,ALB,2022-01-27,5-15 yrs
Albania,ALB,2022-01-28,5-15 yrs
Albania,ALB,2022-01-29,5-15 yrs
Albania,ALB,2022-01-30,5-15 yrs
Albania,ALB,2022-01-31,5-15 yrs
Albania,ALB,2022-02-01,5-15 yrs
Albania,ALB,2022-02-02,5-15 yrs
Albania,ALB,2022-02-03,5-15 yrs
Albania,ALB,2022-02-04,5-15 yrs
Albania,ALB,2022-02-05,5-15 yrs
Albania,ALB,2022-02-06,5-15 yrs
Albania,ALB,2022-02-07,5-15 yrs
Albania,ALB,2022-02-08,5-15 yrs
Albania,ALB,2022-02-09,5-15 yrs
Albania,ALB,2022-02-10,5-15 yrs
Albania,ALB,2022-02-11,5-15 yrs
Albania,ALB,2022-02-12,5-15 yrs
Albania,ALB,2022-02-13,5-15 yrs
Albania,ALB,2022-02-14,5-15 yrs
Albania,ALB,2022-02-15,5-15 yrs
Albania,ALB,2022-02-16,5-15 yrs
Albania,ALB,2022-02-17,5-15 yrs
Albania,ALB,2022-02-18,5-15 yrs
Albania,ALB,2022-02-19,5-15 yrs
Albania,ALB,2022-02-20,5-15 yrs
Albania,ALB,2022-02-21,5-15 yrs
Albania,ALB,2022-02-22,5-15 yrs
Albania,ALB,2022-02-23,5-15 yrs
Albania,ALB,2022-02-24,5-15 yrs
Albania,ALB,2022-02-25,5-15 yrs
Albania,ALB,2022-02-26,5-15 yrs
Albania,ALB,2022-02-27,5-15 yrs
Albania,ALB,2022-02-28,5-15 yrs
Albania,ALB,2022-03-01,5-15 yrs
Albania,ALB,2022-03-02,5-15 yrs
Albania,ALB,2022-03-03,5-15 yrs
Albania,ALB,2022-03-04,5-15 yrs
Albania,ALB,2022-03-05,5-15 yrs
Albania,ALB,2022-03-06,5-15 yrs
Albania,ALB,2022-03-07,5-15 yrs
Albania,ALB,2022-03-08,5-15 yrs
Albania,ALB,2022-03-09,5-15 yrs
Albania,ALB,2022-03-10,5-15 yrs
Albania,ALB,2022-03-11,5-15 yrs
Albania,ALB,2022-03-12,5-15 yrs
Albania,ALB,2022-03-13,5-15 yrs
Albania,ALB,2022-03-14,5-15 yrs
Albania,ALB,2022-03-15,5-15 yrs
Albania,ALB,2022-03-16,5-15 yrs
Albania,ALB,2022-03-17,5-15 yrs
Albania,ALB,2022-03-18,5-15 yrs
Albania,ALB,2022-03-19,5-15 yrs
Albania,ALB,2022-03-20,5-15 yrs
Albania,ALB,2022-03-21,5-15 yrs
Albania,ALB,2022-03-22,5-15 yrs
Albania,ALB,2022-03-23,5-15 yrs
Albania,ALB,2022-03-24,5-15 yrs
Albania,ALB,2022-03-25,5-15 yrs
Albania,ALB,2022-03-26,5-15 yrs
Albania,ALB,2022-03-27,5-15 yrs
Albania,ALB,2022-03-28,5-15 yrs
Albania,ALB,2022-03-29,5-15 yrs
Albania,ALB,2022-03-30,5-15 yrs
Albania,ALB,2022-03-31,5-15 yrs
Albania,ALB,2022-04-01,5-15 yrs
Albania,ALB,2022-04-02,5-15 yrs
Albania,ALB,2022-04-03,5-15 yrs
Albania,ALB,2022-04-04,5-15 yrs
Albania,ALB,2022-04-05,5-15 yrs
Albania,ALB,2022-04-06,5-15 yrs
Albania,ALB,2022-04-07,5-15 yrs
Albania,ALB,2022-04-08,5-15 yrs
Albania,ALB,2022-04-09,5-15 yrs
Albania,ALB,2022-04-10,5-15 yrs
Albania,ALB,2022-04-11,5-15 yrs
Albania,ALB,2022-04-12,5-15 yrs
Albania,ALB,2022-04-13,5-15 yrs
Albania,ALB,2022-04-14,5-15 yrs
Albania,ALB,2022-04-15,5-15 yrs
Albania,ALB,2022-04-16,5-15 yrs
Albania,ALB,2022-04-17,5-15 yrs
Albania,ALB,2022-04-18,5-15 yrs
Albania,ALB,2022-04-19,5-15 yrs
Albania,ALB,2022-04-20,5-15 yrs
Albania,ALB,2022-04-21,5-15 yrs
Albania,ALB,2022-04-22,5-15 yrs
Albania,ALB,2022-04-23,5-15 yrs
Albania,ALB,2022-04-24,5-15 yrs
Albania,ALB,2022-04-25,5-15 yrs
Albania,ALB,2022-04-26,5-15 yrs
Albania,ALB,2022-04-27,5-15 yrs
Albania,ALB,2022-04-28,5-15 yrs
Albania,ALB,2022-04-29,5-15 yrs
Albania,ALB,2022-04-30,5-15 yrs
Albania,ALB,2022-05-01,5-15 yrs
Albania,ALB,2022-05-02,5-15 yrs
Albania,ALB,2022-05-03,5-15 yrs
Albania,ALB,2022-05-04,5-15 yrs
Albania,ALB,2022-05-05,5-15 yrs
Albania,ALB,2022-05-06,5-15 yrs
Albania,ALB,2022-05-07,5-15 yrs
Albania,ALB,2022-05-08,5-15 yrs
Albania,ALB,2022-05-09,5-15 yrs
Albania,ALB,2022-05-10,5-15 yrs
Albania,ALB,2022-05-11,5-15 yrs
Albania,ALB,2022-05-12,5-15 yrs
Albania,ALB,2022-05-13,5-15 yrs
Albania,ALB,2022-05-14,5-15 yrs
Albania,ALB,2022-05-15,5-15 yrs
Albania,ALB,2022-05-16,5-15 yrs
Albania,ALB,2022-05-17,5-15 yrs
Albania,ALB,2022-05-18,5-15 yrs
Albania,ALB,2022-05-19,5-15 yrs
Albania,ALB,2022-05-20,5-15 yrs
Albania,ALB,2022-05-21,5-15 yrs
Albania,ALB,2022-05-22,5-15 yrs
Albania,ALB,2022-05-23,5-15 yrs
Albania,ALB,2022-05-24,5-15 yrs
Albania,ALB,2022-05-25,5-15 yrs
Albania,ALB,2022-05-26,5-15 yrs
Albania,ALB,2022-05-27,5-15 yrs
Albania,ALB,2022-05-28,5-15 yrs
Albania,ALB,2022-05-29,5-15 yrs
Albania,ALB,2022-05-30,5-15 yrs
Albania,ALB,2022-05-31,5-15 yrs
Albania,ALB,2022-06-01,5-15 yrs
Albania,ALB,2022-06-02,5-15 yrs
Albania,ALB,2022-06-03,5-15 yrs
Albania,ALB,2022-06-04,5-15 yrs
Albania,ALB,2022-06-05,5-15 yrs
Albania,ALB,2022-06-06,5-15 yrs
Albania,ALB,2022-06-07,5-15 yrs
Albania,ALB,2022-06-08,5-15 yrs
Albania,ALB,2022-06-09,5-15 yrs
